gene_id	beam_rank	status	family	pval	qval	gene_name	gene_short_name	feature_type	highly_variable	num_cells_expressed	use_for_ordering	labelled
ENSMUSG00000004366	85	OK	negbinomial.size	3.6984897662238273e-169	7.180726660234332e-167	Sst	Sst	Gene Expression	True	322	False	False
ENSMUSG00000021194	86	OK	negbinomial.size	1.1757944969031974e-168	2.2562949514411007e-166	Chga	Chga	Gene Expression	True	2840	True	False
ENSMUSG00000035000	87	OK	negbinomial.size	6.489194011913565e-163	1.2309329744667766e-160	Dpp4	Dpp4	Gene Expression	True	1321	True	False
ENSMUSG00000018411	88	OK	negbinomial.size	1.1100598031666752e-162	2.081740560415868e-160	Mapt	Mapt	Gene Expression	True	924	True	False
ENSMUSG00000041658	89	OK	negbinomial.size	5.674645188133049e-162	1.0522322420197721e-159	Rragb	Rragb	Gene Expression	True	1668	True	False
ENSMUSG00000022139	90	OK	negbinomial.size	2.07006887384406e-160	3.795816291672057e-158	Mbnl2	Mbnl2	Gene Expression	False	2905	True	False
ENSMUSG00000020857	91	OK	negbinomial.size	2.961639370486897e-158	5.37098181660937e-156	Nme2	Nme2	Gene Expression	False	2954	True	False
ENSMUSG00000022054	92	OK	negbinomial.size	1.9680319832769922e-156	3.5302643282630666e-154	Nefm	Nefm	Gene Expression	True	1298	True	False
ENSMUSG00000039263	93	OK	negbinomial.size	3.9367641723093995e-156	6.985851519959357e-154	Npepl1	Npepl1	Gene Expression	False	2078	True	False
ENSMUSG00000034871	94	OK	negbinomial.size	4.4362914777177186e-153	7.788523218805904e-151	Fam151a	Fam151a	Gene Expression	False	785	False	False
ENSMUSG00000022708	95	OK	negbinomial.size	1.0699534521027149e-152	1.8586780863211686e-150	Zbtb20	Zbtb20	Gene Expression	False	3011	True	False
ENSMUSG00000063446	96	OK	negbinomial.size	3.511870552556048e-152	6.037124971753382e-150	Plppr1	Plppr1	Gene Expression	True	744	True	False
ENSMUSG00000040387	97	OK	negbinomial.size	3.7333789696532506e-149	6.351747745998721e-147	Klhl32	Klhl32	Gene Expression	True	2413	True	False
ENSMUSG00000087259	98	OK	negbinomial.size	3.204070543962639e-148	5.39558940683831e-146	2610035D17Rik	2610035D17Rik	Gene Expression	True	1648	False	False
ENSMUSG00000025812	99	OK	negbinomial.size	4.8266253263822373e-147	8.045838157705662e-145	Pard3	Pard3	Gene Expression	True	2644	True	False
ENSMUSG00000072235	100	OK	negbinomial.size	4.999001563790279e-145	8.249852280723097e-143	Tuba1a	Tuba1a	Gene Expression	False	2752	True	False
