lineage	sample	genotype	pseudotime_bin	panel	program_log1pCP10K	n_cells	control_reference	delta_vs_control
Alpha	dEndo 3	dEndo	1	α terminal output	0.39492314958619923	222	0.5897143496821537	-0.19479120009595452
Alpha	dEndo 3	dEndo	2	α lineage TFs	0.2663963211594787	151	0.3219579847680413	-0.05556166360856263
Alpha	dEndo 3	dEndo	2	α terminal output	1.1470486696984552	151	1.2204948267444122	-0.07344615704595703
Alpha	dEndo 3	dEndo	3	α lineage TFs	0.4624190199866662	150	0.4975515022445987	-0.03513248225793253
Alpha	dEndo 3	dEndo	3	α terminal output	2.201212448472173	150	2.304492906300107	-0.10328045782793405
Alpha	dEndo 3	dEndo	4	α lineage TFs	0.8028599224903843	120	0.8811317491794397	-0.07827182668905541
Alpha	dEndo 3	dEndo	4	α terminal output	3.3066961701202677	120	3.6244783985825286	-0.3177822284622609
Alpha	dEndo 3	dEndo	5	α lineage TFs	0.9396371787512283	105	0.9944847529548547	-0.054847574203626404
Alpha	dEndo 3	dEndo	5	α terminal output	3.781152851295582	105	4.487106132625614	-0.7059532813300322
Alpha	dEndo 4	dEndo	1	α lineage TFs	0.20716715327383872	119	0.1553303714885261	0.05183678178531262
Alpha	dEndo 4	dEndo	1	α terminal output	0.5884043613352364	119	0.5897143496821537	-0.0013099883469173124
Alpha	dEndo 4	dEndo	2	α lineage TFs	0.2962550618780815	91	0.3219579847680413	-0.025702922889959845
Alpha	dEndo 4	dEndo	2	α terminal output	1.0260742762585762	91	1.2204948267444122	-0.19442055048583606
Alpha	dEndo 4	dEndo	3	α lineage TFs	0.39974728663374154	91	0.4975515022445987	-0.09780421561085717
Alpha	dEndo 4	dEndo	3	α terminal output	1.9633160709263435	91	2.304492906300107	-0.34117683537376364
Alpha	dEndo 4	dEndo	4	α lineage TFs	0.8552949545164861	80	0.8811317491794397	-0.025836794662953633
Alpha	dEndo 4	dEndo	4	α terminal output	3.129799628093357	80	3.6244783985825286	-0.4946787704891715
Alpha	dEndo 4	dEndo	5	α lineage TFs	1.031475091842417	63	0.9944847529548547	0.0369903388875622
Alpha	dEndo 4	dEndo	5	α terminal output	3.7938026465204944	63	4.487106132625614	-0.6933034861051199
Alpha	DKO 1	DKO	1	α lineage TFs	0.21472511165585512	21	0.1553303714885261	0.05939474016732901
Alpha	DKO 1	DKO	1	α terminal output	0.4900452975500596	21	0.5897143496821537	-0.09966905213209415
Alpha	DKO 1	DKO	2	α lineage TFs	0.24941655732151247	23	0.3219579847680413	-0.07254142744652886
Alpha	DKO 1	DKO	2	α terminal output	1.0382431685774538	23	1.2204948267444122	-0.18225165816695843
Alpha	DKO 1	DKO	3	α lineage TFs	0.3484297835288958	20	0.4975515022445987	-0.1491217187157029
Alpha	DKO 1	DKO	3	α terminal output	1.6884668274545547	20	2.304492906300107	-0.6160260788455525
Alpha	DKO 1	DKO	4	α lineage TFs	0.931397825666058	18	0.8811317491794397	0.050266076486618294
Alpha	DKO 1	DKO	4	α terminal output	3.1241969487858228	18	3.6244783985825286	-0.5002814497967059
Alpha	DKO 1	DKO	5	α lineage TFs	1.0209013674619172	25	0.9944847529548547	0.026416614507062453
Alpha	DKO 1	DKO	5	α terminal output	3.461366857657792	25	4.487106132625614	-1.0257392749678225
Alpha	DKO 3	DKO	1	α lineage TFs	0.028426110568393684	2	0.1553303714885261	-0.1269042609201324
Alpha	DKO 3	DKO	1	α terminal output	0.0	2	0.5897143496821537	-0.5897143496821537
Alpha	DKO 3	DKO	2	α lineage TFs	0.04249979794698096	10	0.3219579847680413	-0.2794581868210604
Alpha	DKO 3	DKO	2	α terminal output	0.253248333156123	10	1.2204948267444122	-0.9672464935882892
Alpha	DKO 3	DKO	3	α lineage TFs	0.4610567014322139	12	0.4975515022445987	-0.03649480081238482
Alpha	DKO 3	DKO	3	α terminal output	1.3274314444677187	12	2.304492906300107	-0.9770614618323885
Alpha	DKO 3	DKO	4	α lineage TFs	0.564335519035241	15	0.8811317491794397	-0.31679623014419867
Alpha	DKO 3	DKO	4	α terminal output	1.9272298343548377	15	3.6244783985825286	-1.6972485642276909
Alpha	DKO 3	DKO	5	α lineage TFs	0.7739379414820736	22	0.9944847529548547	-0.2205468114727811
Alpha	DKO 3	DKO	5	α terminal output	2.4366419823608276	22	4.487106132625614	-2.0504641502647867
Beta	Control 1	control	1	β lineage TFs	0.6742211708523715	26	0.6647181447699569	0.0095030260824146
Beta	Control 1	control	1	β terminal output	0.41566808669415006	26	0.3522589932974627	0.06340909339668738
Beta	Control 1	control	2	β lineage TFs	0.5925092658363854	38	0.6979184577596292	-0.10540919192324383
Beta	Control 1	control	2	β terminal output	0.9537667646051214	38	0.6795409981933789	0.27422576641174257
Beta	Control 1	control	3	β lineage TFs	0.6087596023285456	53	0.7641663897454091	-0.15540678741686342
Beta	Control 1	control	3	β terminal output	2.9075308467936574	53	2.0327079246520374	0.8748229221416199
Beta	Control 1	control	4	β lineage TFs	0.9733947576648004	52	1.1074408953503578	-0.1340461376855574
Beta	Control 1	control	4	β terminal output	4.240450145790322	52	3.7538637201755116	0.48658642561481047
Beta	Control 1	control	5	β lineage TFs	1.2326374703250549	32	1.3944697467463698	-0.16183227642131492
Beta	Control 1	control	5	β terminal output	6.077611829741386	32	5.727459039180633	0.3501527905607533
Beta	Control 2	control	1	β lineage TFs	0.601652257320457	17	0.6647181447699569	-0.06306588744949992
Beta	Control 2	control	1	β terminal output	0.2782615521566541	17	0.3522589932974627	-0.07399744114080858
Beta	Control 2	control	2	β lineage TFs	0.7218643200130185	26	0.6979184577596292	0.02394586225338924
Beta	Control 2	control	2	β terminal output	0.4673944496429057	26	0.6795409981933789	-0.21214654855047316
